2021-02-14 17:48:22+00:00,1361009401247719432,1361009401247719432,Twitter for iPhone,@taqa_sa كل واحد حرر بس انا افيدك عشان ماتتهور 😂🤪,البرنس,Eid72106564,"
",False,128,0,0,1940241985,taqa_sa,False,False,ar,0,Positive,Others

2021-02-14 17:11:14+00:00,1361000056397189120,1361000056397189120,Twitter for iPhone,@taqa_sa تخسر خمسه دقايق ولا تخسر خمسه الاف قيمه مكينه 🙂🙄 https://t.co/dfs3PVTiaj,البرنس,Eid72106564,"
",False,128,0,0,1940241985,taqa_sa,False,False,ar,1,Positive,Others

2021-02-14 16:05:39+00:00,1360983554772111360,1360983554772111360,Twitter for iPhone,@taqa_sa اثبت صحه كلامك😉,د.م🇸🇦,ror5511_,"الرياض, المملكة العربية السعودية",False,64,0,0,1940241985,taqa_sa,False,False,ar,0,Neutral,Others

2021-02-14 15:39:37+00:00,1360977001071403009,1360977001071403009,Twitter for iPhone,@taqa_sa ماعاد فيه فرق بين الأخضر والأحمر في السعر ،، لذلك وبوجهة نظري ان الأحمر أوفر !!,ابودينا,cccksaccc,الرياض,False,246,0,0,1940241985,taqa_sa,False,False,ar,0,Positive,Others

2021-02-14 15:37:51+00:00,1360976557699964929,1360976557699964929,Twitter for Android,"RT @taqa_sa: اختيارك للسيارة على المستوى الأخضر في بطاقة اقتصاد الوقود يوفر عليك إلى 55٪؜ من صرفية البنزين ⛽

#سيارتك_تفزع_لك
#لتبقى⁩ https…",mahir,mahir_doctor,,False,313,0,0,,,False,False,ar,0,Positive,Others

2021-02-14 15:36:06+00:00,1360976114223616001,1360976114223616001,Twitter for Android,"@HashKSA @taqa_sa ما ادري احس ٣٠ ثانيه  قليله في المناطق البارده. قد تكون مناسبه للسيارات الفارهه مثل البي ام والمرسيدس لان يوجد بها  نظام يعجل التسخين. 
اما السيارات العاديه كامري اكسنت فورد ليس اقل من ٣ دقائق...
فني سيارات💯",Abu Ryan,Naif62742991,,False,2,0,0,407054921,HashKSA,False,False,ar,0,Positive,Others

2021-02-14 15:00:46+00:00,1360967223624499203,1360967223624499203,Twitter for iPhone,@taqa_sa شكراً لكم على التوضيح والتفاعل ..,B,fofn2_,فوق هام السحب,False,108,0,0,1940241985,taqa_sa,False,False,ar,0,Positive,Others

2021-02-14 12:15:46+00:00,1360925699998167045,1360925699998167045,Twitter for iPhone,"@Saudi @taqa_sa السلام عليكم
مرحبا،   لكل أهل الخير
الى كل اصحابكم الذين بحاجة ماسة لخدمات البحوث وخاصة في بداية العام الجديد. لدينا ما يزيد عن
 ٦٠٠كاتب من خريجي جامعات بريطانية وذوي خبرة عالية في جميع الاختصاصات. تحت خدمتك في حين تواصلك معنا من خلال الايميل: 
Tahsin.empire.services@outlook.com",Tahsin Empire Services,TahsinEmpireSer,"London, England",False,340,0,0,251482675,Saudi,False,False,ar,0,Positive,Others

2021-02-14 11:50:48+00:00,1360919418100985866,1360919418100985866,Twitter for iPhone,@HashKSA @taqa_sa (لتبقى) وان صار بسيارتي خلل تعوضوني؟!,ام الـدانـه🦋,zxn_xm,,False,310,0,0,407054921,HashKSA,False,False,ar,0,Negative,Others

2021-02-14 10:58:19+00:00,1360906209444913155,1360906209444913155,Twitter for iPhone,@HashKSA @taqa_sa تخيل واحد يصحيك من النوم ويقول اركض,Essa,X_man100,,False,1917,0,0,407054921,HashKSA,False,False,ar,0,Positive,Others

